Added,URL,ListedPrice,Year,Make,Model,Trim,Body,Mileage,ManualTF,Drivetrain,Fuel,HP,Displacement,Engine,Combined MPG,State,Title Issues,AccidentsTF,Owners,Rental Use?,Fleet Use?,Age,Country
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=313441555/NONE,10995,2006,Mazda,MX-5 Miata,Touring,Convertible,66821,FALSE,RWD,Gas,170,2,I4,24,TX,No,FALSE,2,No,No,15,Japan
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=30000&sortDir=ASC&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=20000&sortType=DEAL_SCORE#listing=310999675/NONE,24300,2018,Mazda,MX-5 Miata,Grand Touring,Convertible,29211,FALSE,RWD,Gas,155,2,I4,30,TX,No,FALSE,1,No,No,3,Japan
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=314208056/NONE,8990,2008,Mercedes-Benz,CLK 350,,Convertible,100074,FALSE,RWD,Gas,268,3.5,V6,21,TX,No,TRUE,5,No,Yes,13,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=309341438/NONE,9900,2006,Mercedes-Benz,SL 500,,Convertible,118371,FALSE,RWD,Gas,302,5,V8,18,TX,No,TRUE,5,No,No,15,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=298598035/NONE,7000,1996,Mercedes-Benz,SL 500,,Convertible,113585,FALSE,RWD,Gas,315,5,V8,18,TX,No,TRUE,4,No,No,25,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=20000&sortDir=ASC&engines=V8&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=10000&sortType=DEAL_SCORE#listing=312868031/NONE,17995,2008,Mercedes-Benz,SL-Class,SL 550,Convertible,99845,FALSE,RWD,Gas,382,5.5,V8,17,TX,No,FALSE,4,No,Yes,13,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=30000&sortDir=ASC&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=20000&sortType=DEAL_SCORE#listing=312987226/NONE,24998,1994,Mercedes-Benz,SL-Class,SL 320,Convertible,43989,FALSE,RWD,Gas,229,3.2,I6,18,TX,No,FALSE,2,No,No,27,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?zip=77433&inventorySearchWidgetType=PRICE&maxPrice=30000&sortDir=ASC&sourceContext=carGurusHomePagePrice&bodyTypeGroupIds=1&distance=50&minPrice=20000&sortType=DEAL_SCORE#listing=308683790/NONE,25995,2014,Mercedes-Benz,E-Class,E 350,Convertible,61796,FALSE,RWD,Gas,302,3.5,V6,23,TX,No,FALSE,2,No,No,7,Germany
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=313324697/NONE,8995,2010,MINI,Cooper,S,Convertible,72000,FALSE,FWD,Gas,172,1.6,I4,28,TX,No,FALSE,3,No,Yes,11,United Kingdom
10/20/2021,https://www.cargurus.com/Cars/inventorylisting/viewDetailsFilterViewInventoryListing.action?sourceContext=carGurusHomePagePrice&inventorySearchWidgetType=PRICE&minPrice=0&maxPrice=10000&zip=77433#listing=314103961/NONE,8995,2008,Nissan,350Z,Touring,Convertible,98984,FALSE,RWD,Gas,306,3.5,V6,20,TX,No,TRUE,3,Yes,No,13,Japan
